frame,start_myr,end_myr,nodes,plates,step_total,plate_shift,plate_deform,faults,topology_changes,climate_erosion_hydrology,volcanism,resource_formation,sea_level,step_other,render,decode_encode,frame_total
12,11.0,12.0,130928,28,70.62733004201436,5.162357473396696,17.15713923232397,9.002952833019663,1.8022529159788974,8.594703541020863,0.6550842089927755,0.44976595893967897,2.0775623369263485,25.72551154141547,1.6778653330402449,0.02558079204754904,72.33208420797018
13,12.0,13.0,131502,28,64.02886004204629,5.115973680920433,18.00225726136705,8.896354875992984,1.394785959040746,8.626608416030649,0.7160417910199612,0.4476036209380254,2.1123289569513872,18.716905479785055,1.7240424579940736,0.025650540948845446,65.77992695797002
14,13.0,14.0,131252,28,74.57343366701389,5.113438723783474,17.427062347647734,8.89811375096906,1.8366948320763186,8.626182793930639,0.6264956278610043,0.4494669580599293,2.085911459987983,29.510067172697745,1.6680546670104377,0.02553358400473371,76.26840637502028
15,14.0,15.0,131913,28,67.60047904099338,5.163326640438754,18.308417596505024,8.875990164931864,1.3652670420124196,8.705311791040003,0.7130830000387505,0.44614162400830537,2.1060411669895984,21.91690001502866,1.7656156250159256,0.025881042005494237,69.39343795896275
16,15.0,16.0,131840,29,82.31409729202278,5.162056180124637,18.18041529529728,8.979381582990754,1.715561293065548,8.620492331101559,0.613918668939732,0.4470078769954853,2.116772499983199,36.478491563524585,1.6356150829815306,0.025539457972627133,83.97658662497997
17,16.0,17.0,132548,29,74.38821854203707,5.3378976850654,19.378395687032025,9.20741666702088,1.348722331924364,8.6735422090278,0.7414159580948763,0.45765733311418444,2.120220792130567,27.12294987862697,1.7402708749868907,0.026155208994168788,76.1562021249556
18,17.0,18.0,132277,30,95.55489204096375,5.411598140199203,19.307902854052372,9.396669291018043,1.7959864591248333,8.725507126073353,0.7198300841264427,0.4615932909073308,2.1136682928772643,47.62213650258491,1.6768932499689981,0.025522999989334494,97.25876858294941
19,18.0,19.0,133072,31,83.48344887502026,5.403662220982369,20.436740145727526,9.632835085038096,1.4702521670260467,8.883781957847532,0.8150936659658328,0.4694679160020314,2.157887126028072,34.21372859040275,1.7654837500303984,0.02617245796136558,85.27673308295198
20,19.0,20.0,132796,31,103.103708583978,5.5469890523236245,20.197868798917625,9.846304749080446,1.9283039580332115,8.94820637407247,0.7637800829252228,0.47964337409939617,2.078567291959189,53.31404490256682,1.6946802499587648,0.025683832995127887,104.82553441700293
21,20.0,21.0,133651,31,87.77346225001384,5.589322478044778,21.275020020315424,9.87797162408242,1.6010023740818724,8.927741166902706,0.8830190019216388,0.4792312899371609,2.2058719609631225,36.93428233376471,1.7581964590353891,0.026078041992150247,89.55923362501198
22,21.0,22.0,133464,31,105.44521325000096,5.561049560259562,20.65271657379344,9.877048124850262,2.068629751971457,9.06125895906007,0.7501779171288945,0.4760419150115922,2.1683206250309013,54.82996982289478,1.7700499579659663,0.026281791971996427,107.24354674998904
23,22.0,23.0,134226,31,86.62000866699964,5.572417018527631,21.426264637964778,9.850525168003514,1.6504253750899807,8.936634457844775,0.8747430841322057,0.4953710020054132,2.125660667021293,35.68796725641005,1.625121958029922,0.02558495895937085,88.27224704204127
24,23.0,24.0,134117,31,108.57619008299662,5.55346580944024,20.695052359893452,9.893157582962885,2.036645251966547,9.193795705912635,0.7301428739447147,0.47587529208976775,2.2294431660557166,57.76861204073066,1.636097000038717,0.02555770898470655,110.23945312498836
25,24.0,25.0,134771,31,91.56187079200754,5.472303516988177,21.19785232783761,9.947446376027074,1.6453514589229599,8.856530208024196,0.8515362110338174,0.47986687399679795,2.1575689579476602,40.95341486122925,1.660216959018726,0.02595362497959286,93.24956725002266
