         9266571789 function calls (8887106715 primitive calls) in 6283.373 seconds

   Ordered by: internal time
   List reduced from 4082 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      150 1286.006    8.573 2149.464   14.330 magma_transport.py:185(_weighted_destination_pairs)
  2577923    7.450    0.000    7.781    0.000 lithosphere.py:98(node_crust_density)
   461456    7.388    0.000    8.068    0.000 lithosphere_plate.py:447(_distance_to_mask_1d)
 49418399    7.354    0.000   30.281    0.000 {built-in method builtins.min}
  2473542    7.329    0.000   62.833    0.000 faults.py:477(_make_boundary_fault)
     4588    7.287    0.002   11.373    0.002 plates.py:351(node_components)
       60    7.245    0.121   44.190    0.736 biomes.py:860(classify_biomes_soft)
     1800    7.152    0.004   27.759    0.015 hydrology.py:825(route_downstream)
    18337    7.071    0.000   22.297    0.001 volcanism.py:72(_apply_volcanic_activity_to_lines)
     1319    7.010    0.005    7.488    0.006 biomes.py:315(_precip_season)
    70807    7.001    0.000    7.911    0.000 plates.py:997(set_lines)
     1320    6.706    0.005   23.995    0.018 biomes.py:950(_neighbour_vote)
     1200    6.670    0.006    9.269    0.008 hydrology.py:719(_compute_flow_direction)
 39448344    6.533    0.000   11.776    0.000 numeric.py:483(count_nonzero)
  2011624    6.483    0.000   12.100    0.000 lithosphere.py:163(crustal_thickness_for_elevation)
